objectid,originalfilename,filename,title,originaltitle,tributary,description,creator,callnumber,itemnumber,collectionname,repository,date,archivaldate,subject,damspace,damtime,submerged,location,latitude,longitude,sourcelink,format,type,language,display_template,object_location,image_small,image_thumb
sediment58,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/11061/default.jpg,sediment58.jpg,Cutting steps up Pick Axe Canyon,[Mike and Frank cutting steps up Pick Axe Canyon (False Entrance Canyon).],,,"Nichols, Tad",NAU.PH.99.3.1.19.10,22885,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1960,1960,sediment; exploration; humans,Above Dam,Pre-Dam,submerged,Glen Canyon; False Entrance Canyon; Pick Ax Canyon,37.0957728,-111.0627873,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/11061/rec/54,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment58.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment58_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment58_th.jpg
sediment59,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/70010/default.jpg,sediment59.jpg,Chisled steps at Hole-in-The-Rock,"Chisled steps, Hole-In-The-Rock, Glen Canyon, Utah, 1921",,,"Kolb, Emery Clifford",NAU.PH.568.5245,129070,"Kolb, Emery"," Special Collections and Archives, Cline Library, Northern Arizona University.",1921,1921,sediment; Mormons; humans; tracks,Above Dam,Pre-Dam,,Glen Canyon; Hole-In-The-Rock,37.25576322,-110.8986693,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/70010/rec/57,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment59.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment59_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment59_th.jpg
sediment60,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/10558/default.jpg,sediment60.jpg,Uranium mining at Lukachukais,Lukais [Lukachukais] - Newill. Uranium mining [ca. 1955] [Miner at work].,/atmosphere/#radium-dust,,"Nichols, Tad",NAU.PH.99.3.7.11.42,63752,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1954,1953-1955,sediment; uranium; mining; infrastructure; atmosphere,,,,Lukachukais,36.41622736,-109.2286617,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/10558/rec/41,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment60.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment60_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment60_th.jpg
sediment61,https://archive.library.nau.edu/digital/api/singleitem/image/cpa/12933/default.jpg,sediment61.jpg,Aerial view of the Mormon Trail,Mormon Trail (aerial view).,/atmosphere/#aridity,,"Nichols, Tad",NAU.PH.99.3.1.68.57,47141,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1957,1950-1965,sediment; land; aridity; atmosphere; water; river,,,,Glen Canyon; Mormon Trail,,,https://archive.library.nau.edu/digital/collection/cpa/id/12933/rec/99,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment61.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment61_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment61_th.jpg
sediment62,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/22204/default.jpg,sediment62.jpg,Abandoned mining equipment at Stanton Dredge,[Abandoned mining equipment at (Robert Brewster) Stanton Dredge; this photograph appears as a background image in Tad's Glen Canyon book on page 29.],,,"Nichols, Tad",NAU.PH.99.3.1.9.20,19749,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1956,1956,sediment; mining; infrastructure; humans,,Pre-Dam,,Glen Canyon; Stanton Dredge,37.56166554,-110.6313962,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/22204/rec/26,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment62.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment62_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment62_th.jpg
sediment63,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/9422/default.jpg,sediment63.jpg,Ruins of mining cabin near Olympia Bar,Ruins of miner's cabin near Olympia Bar [constructed title] [This image appears in Tad's Glen Canyon book on page 25.].,,"Robert B. Stanton sought to build a railroad from Grand Junction to Gulf of California and staked out five placer claims in doing so, including near the mouth of Hanson (Pine Alcove) creek. He named his mining company the Hoskannini Mining Co., establisehd in 1897 in Glen Canyon, which became the largest gold mining outfit in Glen Canyon, and staked the entire canyon from Hite to Lee's Ferry. His 26 workmen used Hole in the Rock to carry their 8,000lbs of equipment, and picked steps into the slickrock over the wagon trail. Stanton became the second person to float from Green River through Glen Canyon while performing a railraod survey. By 1899, Stanton had 145 claims in glen Canyon, and bought a fleet of dredges in order to sift for gold dust in Glen Canyon's sand. He began dredge operations in 1901, but was stymied by variable water levels and his equipment's failure to capture gold dust. The silt-laden river water ate away at pump machinery and supply points were difficult due to the canyoned terrain. The project was abandoned. In 1909-1912, Charles H. Spencer and his American Placer Corp. prospected Lee's Ferry by sluicing, which was assisted by a pneumatic pipe which helped dredge sand and gravel for gold extraction, and processed the gold with almagamation, which involves mixing mecury to separate ore from gold. This process took place near the Paria River. The machinery was powered from coal, which was mined from Warren Creek, and transported at first by mule train, and then by steamboat, which did not last long as there was not enough coal to power the steam boat. Spencer ran into issues with the price of mercury, which was higher than the price of gold extraction, and his mine shut down. In the 1920s, oil pros","Nichols, Tad",NAU.PH.99.3.1.8.113,29762,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1955,1955,sediment; mining; infrastructure; dwellings; humans,Above Dam,Pre-Dam,submerged,Glen Canyon; Olympia Bar,37.59503187,-110.6007059,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/9422/rec/360,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment63.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment63_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment63_th.jpg
sediment64,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/9422/rec/360,sediment64.jpg,Cliff dwelling near Schock Bar,[Frank Wright and Katie Lee beside cliff dwelling near Schock Bar.],,,"Nichols, Tad",NAU.PH.99.3.1.9.32,19792,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1956,1956,sediment; humans; exploration; dwellings,Above Dam,Pre-Dam,,Glen Canyon; Schock Bar,37.41024346,-110.7500747,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/16911/rec/336,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment64.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment64_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment64_th.jpg
sediment65,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/16909/default.jpg,sediment65.jpg,Iceberg Canyon,[Iceberg Canyon - Mile 101.6.],,,"Nichols, Tad",NAU.PH.99.3.1.9.36,19801,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1956,1956,sediment; land; water,Above Dam,Pre-Dam,,Glen Canyon; Iceberg Canyon,37.33058912,-110.7659125,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/16909/rec/331,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment65.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment65_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment65_th.jpg
sediment66,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/9383/default.jpg,sediment66.jpg,Shadows in Glen Canyon,[Canyon and shadows-Glen Canyon].,,,"Nichols, Tad",NAU.PH.99.3.1.11.133,20586,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1957,1957,sediment; land; water,,Pre-Dam,,Glen Canyon,,,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/9383/rec/3210,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment66.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment66_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment66_th.jpg
sediment67,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/9572/default.jpg,sediment67.jpg,Tailings from miners at Olympia Bar,[Tailings from miners at Olympia Bar].,,,"Nichols, Tad",NAU.PH.99.3.1.11.75,20489,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1957,1957,sediment; mining; infrastructure; humans,Above Dam,Pre-Dam,,Glen Canyon; Olympia Bar,37.59503187,-110.6007059,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/9572/rec/3221,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment67.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment67_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment67_th.jpg
sediment68,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/10343/default.jpg,sediment68.jpg,Rising lake waters nearly cover Gregory Bridge,Gregory Br. [Rising lake water nearly filling the open arch beneath Gregory Bridge].,,,"Nichols, Tad",NAU.PH.99.3.1.42.13,27450,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1968,1968,sediment; lake;,Above Dam,Post-Dam,submerged,Glen Canyon; Gregory Bridge,37.32967,-110.939052,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/10343/rec/3232,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment68.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment68_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment68_th.jpg
